K,baseline_id,bridge_certificate_passed,bridge_certificate_status,bridge_delta_cx,bridge_delta_depth,bridge_delta_gates,bridge_delta_ir_bytes,bridge_format,bridge_runtime_s,bridge_serialized_bytes,category,cell_id,certificate_kind,certificate_output_cx,certificate_output_depth,certificate_output_gate_types,certificate_output_gates,certificate_output_h,certificate_output_ir_bytes,certificate_output_ir_encoding,certificate_output_qasm_bytes,certificate_output_rz,certificate_output_serialized_bytes,certificate_runtime_s,compiler_pipeline,compiler_runtime_s,config_mode,config_path,config_sha256,density_realized,hardware,input_certificate_status,log_path,m,memory_cap_bytes,n,native_output_cx,native_output_depth,native_output_gate_types,native_output_gates,native_output_h,native_output_ir_bytes,native_output_rz,output_basis,output_certificate_passed,output_certificate_status,pass_sequence,post_bridge_cx,post_bridge_depth,post_bridge_gate_types,post_bridge_gates,post_bridge_h,post_bridge_ir_bytes,post_bridge_native_cx,post_bridge_native_depth,post_bridge_native_gate_types,post_bridge_native_gates,post_bridge_native_h,post_bridge_native_rz,post_bridge_qasm_bytes,post_bridge_rz,pre_bridge_cx,pre_bridge_depth,pre_bridge_gate_types,pre_bridge_gates,pre_bridge_h,pre_bridge_ir_bytes,pre_bridge_rz,r,representation,representation_id,representation_manifest_path,representation_manifest_sha256,reused_verified,rss_peak_bytes,seed,semantic_capable,serialized_input_bytes,status,status_stage,target_basis,target_id,timeout_s,tool,tool_commit,tool_commit_source,tool_version,total_error_budget,wall_runtime_s,worker_runtime_s
8,authors_phase_table_native,True,passed,0,0,0,17,direct Qiskit CNOT-Rz parity/phase table,0.0003458330174908042,330,authors-reference,w5-357c51062d5870e714ad,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1813,ucc-circuit-dag,237,4,312,0.002316625090315938,authors exact phase-polynomial IR with certificate lowering,0.00032666604965925217,recommended_native,baselines/configs/authors_reference.yaml,0694641e1d8cd28254e5df3c187ad89d374d3e7c01971f207b071c4bb6f7a74c,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-357c51062d5870e714ad/cell.log,8,2147483648,9,0,1,"[""phase_gadget""]",4,0,330,4,"""exact_phase_polynomial_ir""",True,passed,"[""extract exact live parity masks"",""fold rational-pi coefficients modulo 2"",""serialize address-complete phase-polynomial IR"",""lower only for common output certificate""]",16,18,"[""cx"",""rz""]",24,0,3641,0,1,"[""phase_gadget""]",4,0,4,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,106577920,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,authors_exact_phase_table,229eafdb4127ab98b2ad925a9657fa67510a12e7,repository_git_revision,229eafdb4127ab98b2ad925a9657fa67510a12e7,0.0,0.2956956250127405,0.12725037499330938
8,authors_phase_table_native,True,passed,0,0,0,17,direct Qiskit CNOT-Rz parity/phase table,0.00037408294156193733,330,authors-reference,w5-bb834e13bc16101a0f62,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1813,ucc-circuit-dag,237,4,312,0.004085916909389198,authors exact phase-polynomial IR with certificate lowering,0.0003688330762088299,recommended_native,baselines/configs/authors_reference.yaml,0694641e1d8cd28254e5df3c187ad89d374d3e7c01971f207b071c4bb6f7a74c,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-bb834e13bc16101a0f62/cell.log,8,2147483648,9,0,1,"[""phase_gadget""]",4,0,330,4,"""exact_phase_polynomial_ir""",True,passed,"[""extract exact live parity masks"",""fold rational-pi coefficients modulo 2"",""serialize address-complete phase-polynomial IR"",""lower only for common output certificate""]",16,18,"[""cx"",""rz""]",24,0,3641,0,1,"[""phase_gadget""]",4,0,4,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,106577920,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,authors_exact_phase_table,229eafdb4127ab98b2ad925a9657fa67510a12e7,repository_git_revision,229eafdb4127ab98b2ad925a9657fa67510a12e7,0.0,0.36452587496023625,0.14559337496757507
8,authors_phase_table_unified,True,passed,0,0,0,17,direct Qiskit CNOT-Rz parity/phase table,0.00034004205372184515,330,authors-reference,w5-871a6313339c2adcb0e0,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1817,ucc-circuit-dag,237,4,312,0.0022765829926356673,authors exact phase-polynomial extraction and CX-Rz-CX lowering,0.0003327090525999665,unified_target_basis,baselines/configs/authors_reference.yaml,0694641e1d8cd28254e5df3c187ad89d374d3e7c01971f207b071c4bb6f7a74c,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-871a6313339c2adcb0e0/cell.log,8,2147483648,9,0,1,"[""phase_gadget""]",4,0,330,4,"[""cx"",""rz"",""h""]",True,passed,"[""extract exact live parity masks"",""fold rational-pi coefficients modulo 2"",""lower two-body phase gadgets to CX-Rz-CX""]",16,18,"[""cx"",""rz""]",24,0,3641,0,1,"[""phase_gadget""]",4,0,4,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,106610688,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,authors_exact_phase_table,229eafdb4127ab98b2ad925a9657fa67510a12e7,repository_git_revision,229eafdb4127ab98b2ad925a9657fa67510a12e7,0.0,0.29980054101906717,0.12306654208805412
8,authors_phase_table_unified,True,passed,0,0,0,17,direct Qiskit CNOT-Rz parity/phase table,0.00040429190266877413,330,authors-reference,w5-19c8bc4c2c2a495f8f1c,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1817,ucc-circuit-dag,237,4,312,0.0025469580432400107,authors exact phase-polynomial extraction and CX-Rz-CX lowering,0.0003523329505696893,unified_target_basis,baselines/configs/authors_reference.yaml,0694641e1d8cd28254e5df3c187ad89d374d3e7c01971f207b071c4bb6f7a74c,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-19c8bc4c2c2a495f8f1c/cell.log,8,2147483648,9,0,1,"[""phase_gadget""]",4,0,330,4,"[""cx"",""rz"",""h""]",True,passed,"[""extract exact live parity masks"",""fold rational-pi coefficients modulo 2"",""lower two-body phase gadgets to CX-Rz-CX""]",16,18,"[""cx"",""rz""]",24,0,3641,0,1,"[""phase_gadget""]",4,0,4,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,106627072,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,authors_exact_phase_table,229eafdb4127ab98b2ad925a9657fa67510a12e7,repository_git_revision,229eafdb4127ab98b2ad925a9657fa67510a12e7,0.0,0.3138347080675885,0.13198312500026077
8,pyzx_full_reduce_native,True,passed,0,0,0,-4,OpenQASM2 -> PyZX basic Circuit/ZX graph -> OpenQASM2 certificate bridge,0.10186299995984882,3280,semantic-capable,w5-d80ed9d26354ae3a875c,pyzx_rewrite_identity_up_to_global_phase_v1,0,21,"[""cz"",""h"",""rz""]",38,20,5137,ucc-circuit-dag,499,4,553,0.00195966602768749,PyZX full_reduce/extract native,0.0017714580753818154,recommended_native,baselines/configs/pyzx_full_reduce.yaml,fe42b19276a44abaaed8f24edd78c9e29f70a4bccd1085886178a6ec682bcae3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-d80ed9d26354ae3a875c/cell.log,8,2147483648,9,0,21,"[""CZ"",""HAD"",""ZPhase""]",38,20,1905,4,"""native_pyzx""",True,passed,"[""Circuit.from_qasm(...).to_basic_gates()"",""circuit.to_graph()"",""simplify.full_reduce(graph, quiet=True)"",""extract_circuit(graph, quiet=True).to_basic_gates()""]",16,18,"[""cx"",""rz""]",24,0,3620,16,18,"[""CNOT"",""ZPhase""]",24,0,8,459,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,106610688,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pyzx,,installed_distribution_has_no_vcs_commit_metadata,0.10.2,0.0,0.2967043330427259,0.11620516702532768
8,pyzx_full_reduce_native,True,passed,0,0,0,-4,OpenQASM2 -> PyZX basic Circuit/ZX graph -> OpenQASM2 certificate bridge,0.10153541597537696,3280,semantic-capable,w5-0da40f267d063a54db08,pyzx_rewrite_identity_up_to_global_phase_v1,0,21,"[""cz"",""h"",""rz""]",38,20,5137,ucc-circuit-dag,499,4,553,0.0019137919880449772,PyZX full_reduce/extract native,0.001758791971951723,recommended_native,baselines/configs/pyzx_full_reduce.yaml,fe42b19276a44abaaed8f24edd78c9e29f70a4bccd1085886178a6ec682bcae3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-0da40f267d063a54db08/cell.log,8,2147483648,9,0,21,"[""CZ"",""HAD"",""ZPhase""]",38,20,1905,4,"""native_pyzx""",True,passed,"[""Circuit.from_qasm(...).to_basic_gates()"",""circuit.to_graph()"",""simplify.full_reduce(graph, quiet=True)"",""extract_circuit(graph, quiet=True).to_basic_gates()""]",16,18,"[""cx"",""rz""]",24,0,3620,16,18,"[""CNOT"",""ZPhase""]",24,0,8,459,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,106708992,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pyzx,,installed_distribution_has_no_vcs_commit_metadata,0.10.2,0.0,0.2961898749927059,0.11572433402761817
8,pyzx_full_reduce_unified,True,passed,0,0,0,-4,OpenQASM2 -> PyZX basic Circuit/ZX graph -> OpenQASM2 certificate bridge,0.10203770897351205,3280,semantic-capable,w5-f6c9037b4ec5bc31493a,pyzx_rewrite_identity_up_to_global_phase_v1,14,34,"[""cx"",""h"",""rz""]",66,48,8573,ucc-circuit-dag,705,4,759,0.0025548749836161733,PyZX full_reduce/extract plus unified Qiskit rebase,0.012190666981041431,unified_target_basis,baselines/configs/pyzx_full_reduce.yaml,fe42b19276a44abaaed8f24edd78c9e29f70a4bccd1085886178a6ec682bcae3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-f6c9037b4ec5bc31493a/cell.log,8,2147483648,9,0,21,"[""CZ"",""HAD"",""ZPhase""]",38,20,1905,4,"[""cx"",""rz"",""h""]",True,passed,"[""Circuit.from_qasm(...).to_basic_gates()"",""circuit.to_graph()"",""simplify.full_reduce(graph, quiet=True)"",""extract_circuit(graph, quiet=True).to_basic_gates()"",""OpenQASM2 -> Qiskit transpile(basis_gates=[cx,rz,h], optimization_level=0)""]",16,18,"[""cx"",""rz""]",24,0,3620,16,18,"[""CNOT"",""ZPhase""]",24,0,8,459,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,108838912,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pyzx,,installed_distribution_has_no_vcs_commit_metadata,0.10.2,0.0,0.2922229579417035,0.1278512499993667
8,pyzx_full_reduce_unified,True,passed,0,0,0,-4,OpenQASM2 -> PyZX basic Circuit/ZX graph -> OpenQASM2 certificate bridge,0.10138333402574062,3280,semantic-capable,w5-d022f3960559e406d407,pyzx_rewrite_identity_up_to_global_phase_v1,14,34,"[""cx"",""h"",""rz""]",66,48,8573,ucc-circuit-dag,705,4,759,0.00239912502001971,PyZX full_reduce/extract plus unified Qiskit rebase,0.01150229200720787,unified_target_basis,baselines/configs/pyzx_full_reduce.yaml,fe42b19276a44abaaed8f24edd78c9e29f70a4bccd1085886178a6ec682bcae3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-d022f3960559e406d407/cell.log,8,2147483648,9,0,21,"[""CZ"",""HAD"",""ZPhase""]",38,20,1905,4,"[""cx"",""rz"",""h""]",True,passed,"[""Circuit.from_qasm(...).to_basic_gates()"",""circuit.to_graph()"",""simplify.full_reduce(graph, quiet=True)"",""extract_circuit(graph, quiet=True).to_basic_gates()"",""OpenQASM2 -> Qiskit transpile(basis_gates=[cx,rz,h], optimization_level=0)""]",16,18,"[""cx"",""rz""]",24,0,3620,16,18,"[""CNOT"",""ZPhase""]",24,0,8,459,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,108756992,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pyzx,,installed_distribution_has_no_vcs_commit_metadata,0.10.2,0.0,0.2999463330488652,0.12662970798555762
8,qiskit_opt3_native,True,passed,0,0,0,-2,OpenQASM2 -> Qiskit QuantumCircuit,0.00020908296573907137,450,local,w5-1068356e3b8d674d7be0,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1775,ucc-circuit-dag,237,4,293,0.0012517079012468457,Qiskit preset level 3,0.011454166029579937,recommended_native,baselines/configs/qiskit_local.yaml,bd17c0b0b7197a70a5d1e06f2f6e5e25a50cb882fecad8635813f3addf676762,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-1068356e3b8d674d7be0/cell.log,8,2147483648,9,8,9,"[""cx"",""rz""]",12,0,300,4,"""native_qiskit""",True,passed,"[""transpile(optimization_level=3, layout_method=trivial, routing_method=none, seed_transpiler=seed)""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""cx"",""rz""]",24,0,8,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,109805568,20260811,False,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,qiskit,,installed_distribution_has_no_vcs_commit_metadata,2.4.0,0.0,0.2943050420144573,0.1295018329983577
8,qiskit_opt3_native,True,passed,0,0,0,-2,OpenQASM2 -> Qiskit QuantumCircuit,0.0002156669506803155,450,local,w5-f6a66808b224f4c65fbf,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1775,ucc-circuit-dag,237,4,293,0.0012087919749319553,Qiskit preset level 3,0.01101849996484816,recommended_native,baselines/configs/qiskit_local.yaml,bd17c0b0b7197a70a5d1e06f2f6e5e25a50cb882fecad8635813f3addf676762,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-f6a66808b224f4c65fbf/cell.log,8,2147483648,9,8,9,"[""cx"",""rz""]",12,0,300,4,"""native_qiskit""",True,passed,"[""transpile(optimization_level=3, layout_method=trivial, routing_method=none, seed_transpiler=seed)""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""cx"",""rz""]",24,0,8,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,109838336,20260812,False,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,qiskit,,installed_distribution_has_no_vcs_commit_metadata,2.4.0,0.0,0.30249804200138897,0.12922012503258884
8,qiskit_opt3_unified,True,passed,0,0,0,-2,OpenQASM2 -> Qiskit QuantumCircuit,0.00021295889746397734,450,local,w5-11d355bcb08636b2fda6,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1775,ucc-circuit-dag,237,4,293,0.0012307909782975912,Qiskit preset level 3,0.01141458295751363,unified_target_basis,baselines/configs/qiskit_local.yaml,bd17c0b0b7197a70a5d1e06f2f6e5e25a50cb882fecad8635813f3addf676762,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-11d355bcb08636b2fda6/cell.log,8,2147483648,9,8,9,"[""cx"",""rz""]",12,0,1773,4,"[""cx"",""rz"",""h""]",True,passed,"[""transpile(basis_gates=[cx,rz,h], optimization_level=3, layout_method=trivial, routing_method=none, seed_transpiler=seed)""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""cx"",""rz""]",24,0,8,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,109920256,20260811,False,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,qiskit,,installed_distribution_has_no_vcs_commit_metadata,2.4.0,0.0,0.3214570409618318,0.13337099994532764
8,qiskit_opt3_unified,True,passed,0,0,0,-2,OpenQASM2 -> Qiskit QuantumCircuit,0.00023283297196030617,450,local,w5-742d2d07d599d7d24fbb,pyzx_rewrite_identity_up_to_global_phase_v1,8,9,"[""cx"",""rz""]",12,0,1775,ucc-circuit-dag,237,4,293,0.0012669169809669256,Qiskit preset level 3,0.012067625066265464,unified_target_basis,baselines/configs/qiskit_local.yaml,bd17c0b0b7197a70a5d1e06f2f6e5e25a50cb882fecad8635813f3addf676762,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-742d2d07d599d7d24fbb/cell.log,8,2147483648,9,8,9,"[""cx"",""rz""]",12,0,1773,4,"[""cx"",""rz"",""h""]",True,passed,"[""transpile(basis_gates=[cx,rz,h], optimization_level=3, layout_method=trivial, routing_method=none, seed_transpiler=seed)""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""cx"",""rz""]",24,0,8,450,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,109920256,20260812,False,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,qiskit,,installed_distribution_has_no_vcs_commit_metadata,2.4.0,0.0,0.3167276660678908,0.14027083409018815
8,tket_paulisimp_native,True,passed,0,0,0,-2,OpenQASM2 -> TKET Circuit -> OpenQASM2 certificate bridge,0.1740826249588281,1183,semantic-capable,w5-99a7c1fd0eed00696026,pyzx_rewrite_identity_up_to_global_phase_v1,8,11,"[""cx"",""h"",""rz"",""s"",""v""]",48,9,6086,ucc-circuit-dag,575,4,631,0.0031813749810680747,TKET PauliSimp native,0.0025222909171134233,recommended_native,baselines/configs/tket_paulisimp.yaml,f3fdef370ac335b7cb05703f6ff3affc9d844e61f3ce9658aa6501b3f418fed3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-99a7c1fd0eed00696026/cell.log,8,2147483648,9,8,11,"[""CX"",""H"",""Rz"",""S"",""V""]",48,9,2009,4,"""native_tket""",True,passed,"[""DecomposeBoxes()"",""RemoveRedundancies()"",""PauliSimp(PauliSynthStrat.Sets, CXConfigType.Snake)"",""RemoveRedundancies()""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""CX"",""Rz""]",24,0,8,444,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,154959872,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pytket,,installed_distribution_has_no_vcs_commit_metadata,2.16.0,0.0,0.5206439580069855,0.3097398329991847
8,tket_paulisimp_native,True,passed,0,0,0,-2,OpenQASM2 -> TKET Circuit -> OpenQASM2 certificate bridge,0.17314299999270588,1183,semantic-capable,w5-ec4be4e2fde8ddf2ecb3,pyzx_rewrite_identity_up_to_global_phase_v1,8,11,"[""cx"",""h"",""rz"",""s"",""v""]",48,9,6086,ucc-circuit-dag,575,4,631,0.0031782080186530948,TKET PauliSimp native,0.0024775000056251884,recommended_native,baselines/configs/tket_paulisimp.yaml,f3fdef370ac335b7cb05703f6ff3affc9d844e61f3ce9658aa6501b3f418fed3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-ec4be4e2fde8ddf2ecb3/cell.log,8,2147483648,9,8,11,"[""CX"",""H"",""Rz"",""S"",""V""]",48,9,2009,4,"""native_tket""",True,passed,"[""DecomposeBoxes()"",""RemoveRedundancies()"",""PauliSimp(PauliSynthStrat.Sets, CXConfigType.Snake)"",""RemoveRedundancies()""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""CX"",""Rz""]",24,0,8,444,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,154877952,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pytket,,installed_distribution_has_no_vcs_commit_metadata,2.16.0,0.0,0.5000716249924153,0.30300624994561076
8,tket_paulisimp_unified,True,passed,0,0,0,-2,OpenQASM2 -> TKET Circuit -> OpenQASM2 certificate bridge,0.17164154106285423,1183,semantic-capable,w5-8ae21d1ca9a4c6d745de,pyzx_rewrite_identity_up_to_global_phase_v1,8,7,"[""cx"",""rz""]",12,0,1792,ucc-circuit-dag,242,4,298,0.0014324999647215009,TKET PauliSimp plus unified AutoRebase,0.002533416962251067,unified_target_basis,baselines/configs/tket_paulisimp.yaml,f3fdef370ac335b7cb05703f6ff3affc9d844e61f3ce9658aa6501b3f418fed3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-8ae21d1ca9a4c6d745de/cell.log,8,2147483648,9,8,7,"[""CX"",""Rz""]",12,0,605,4,"[""cx"",""rz"",""h""]",True,passed,"[""DecomposeBoxes()"",""RemoveRedundancies()"",""PauliSimp(PauliSynthStrat.Sets, CXConfigType.Snake)"",""RemoveRedundancies()"",""AutoRebase({CX,Rz,H}, allow_swaps=False)"",""RemoveRedundancies()""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""CX"",""Rz""]",24,0,8,444,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-91a3ce2ff6dc7a62bf25,data/runs/w4-matched-representation-20260802/representations/rep-91a3ce2ff6dc7a62bf25/representation_manifest.json,89df805bc9548f6a9522ee6e67d2ba3d184d219b686f12ab391a95fbbe5a4111,False,154959872,20260811,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pytket,,installed_distribution_has_no_vcs_commit_metadata,2.16.0,0.0,0.4987754999892786,0.2975233750184998
8,tket_paulisimp_unified,True,passed,0,0,0,-2,OpenQASM2 -> TKET Circuit -> OpenQASM2 certificate bridge,0.17362858401611447,1183,semantic-capable,w5-9920f180f14b8a79a9f3,pyzx_rewrite_identity_up_to_global_phase_v1,8,7,"[""cx"",""rz""]",12,0,1792,ucc-circuit-dag,242,4,298,0.0014692500699311495,TKET PauliSimp plus unified AutoRebase,0.0024959170259535313,unified_target_basis,baselines/configs/tket_paulisimp.yaml,f3fdef370ac335b7cb05703f6ff3affc9d844e61f3ce9658aa6501b3f418fed3,0.5,logical_all_to_all_no_routing,passed,data/runs/w5-external-baselines-20260803/cells/w5-9920f180f14b8a79a9f3/cell.log,8,2147483648,9,8,7,"[""CX"",""Rz""]",12,0,605,4,"[""cx"",""rz"",""h""]",True,passed,"[""DecomposeBoxes()"",""RemoveRedundancies()"",""PauliSimp(PauliSynthStrat.Sets, CXConfigType.Snake)"",""RemoveRedundancies()"",""AutoRebase({CX,Rz,H}, allow_swaps=False)"",""RemoveRedundancies()""]",16,18,"[""cx"",""rz""]",24,0,3622,16,18,"[""CX"",""Rz""]",24,0,8,444,8,16,18,"[""cx"",""rz""]",24,0,3624,8,2,contiguous_flat,rep-6d5e48dda84cedf9aa9c,data/runs/w4-matched-representation-20260802/representations/rep-6d5e48dda84cedf9aa9c/representation_manifest.json,3148226d012b43cb6a89a76346751dfff8b5caf9376461f65b8a30d4df17c730,False,154779648,20260812,True,797,completed,completed,"[""cx"",""rz"",""h""]",slice-a-m08,20.0,pytket,,installed_distribution_has_no_vcs_commit_metadata,2.16.0,0.0,0.4998619999969378,0.2998772079590708
